function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.048,5495808.000,nan,1,0,0,nmap,40,1.000,161.783,2994176.000,nan,2,0,5515967969,env,120,1.000,9.974,10566656.000,nan,2,0,9450251,35.667,198.433,4825931776.000,5043982336.000,40.259,41.563,nan,nan,70,0
figlet,0,1.000,0.045,5421738.667,nan,1,0,0,nmap,40,1.000,150.839,2514944.000,nan,2,0,5295969854,env,120,1.000,9.342,10415616.000,nan,2,0,9483194,32.467,189.700,4813547520.000,5008449024.000,40.183,41.349,nan,nan,85,0
figlet,0,1.000,0.048,5428394.667,nan,1,0,0,nmap,40,0.999,159.290,228518570.667,nan,3,0,5878031846,env,140,1.000,10.597,10503509.333,nan,2,0,9309464,35.267,213.367,4859234304.000,5088133632.000,40.465,41.841,nan,nan,20,0
figlet,0,1.000,0.045,5539986.286,nan,1,0,0,nmap,40,1.000,140.295,2822144.000,nan,2,0,5064500747,env,140,1.000,9.676,10430780.952,nan,2,0,8996490,35.667,202.183,4810395648.000,4983660032.000,40.157,41.199,nan,nan,70,0
figlet,0,1.000,0.043,5402624.000,nan,1,0,0,nmap,40,1.000,152.555,3518464.000,nan,2,0,4827654540,env,140,1.000,10.451,10546176.000,nan,2,0,9245778,33.200,193.717,4831778816.000,5043764736.000,40.304,41.571,nan,nan,70,0
figlet,0,1.000,0.050,5430272.000,nan,1,0,0,nmap,40,1.000,144.948,3383876.267,nan,2,0,7113621773,env,160,1.000,11.805,10423637.333,nan,2,0,10218410,34.867,190.133,4853815296.000,5124713984.000,40.436,42.054,nan,nan,25,0
figlet,0,1.000,0.041,5451776.000,nan,1,0,0,nmap,40,0.999,167.429,2867200.000,nan,2,0,5855828906,env,160,1.000,12.499,10800981.333,nan,2,0,9502021,36.467,203.750,4892450816.000,5100834304.000,40.594,41.838,nan,nan,20,0
figlet,0,1.000,0.044,5391872.000,nan,1,0,0,nmap,40,0.999,144.902,2478080.000,nan,2,0,7647362758,env,160,1.000,12.234,10814464.000,nan,2,0,9515697,34.267,191.817,4750604288.000,5015894016.000,39.745,41.331,nan,nan,85,0
figlet,0,1.000,0.044,5420578.133,nan,1,0,0,nmap,40,1.000,142.276,241513593.905,nan,2,0,6876212475,env,180,1.000,12.472,10778726.400,nan,2,0,9527734,36.267,204.567,4839520256.000,5072683520.000,40.290,41.687,nan,nan,20,0
figlet,0,1.000,0.044,5444437.333,nan,1,0,0,nmap,40,1.000,137.764,2007040.000,nan,2,0,7164982280,env,180,1.000,12.839,11133098.667,nan,2,0,9729752,36.200,246.517,4806885376.000,5054499840.000,40.087,41.566,nan,nan,70,0
