function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,power_usage_function_figlet,replica_figlet,overloaded_function_figlet,medium_latency_function_figlet,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,power_usage_function_nmap,replica_nmap,overloaded_function_nmap,medium_latency_function_nmap,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
figlet,20,1.000,3.242,3620864.000,nan,1,0,10331474,nmap,0,1.000,0.056,11628544.000,nan,1,0,0,env,100,1.000,10.439,2850816.000,nan,1,0,6965950,38.467,71.850,7481602048.000,7475877888.000,88.336,88.266,nan,nan,75,0
figlet,20,1.000,3.198,14824277.333,nan,1,0,10670045,nmap,0,1.000,0.055,12167509.333,nan,1,0,0,env,100,1.000,9.802,2791594.667,nan,1,0,8534405,39.454,81.320,7509209088.000,7499261440.000,88.683,88.557,nan,nan,40,0
figlet,20,1.000,3.066,2920960.000,nan,2,0,11934892,nmap,0,1.000,0.053,11922090.667,nan,1,0,0,env,100,1.000,9.731,2723961.905,nan,1,0,12145870,40.600,81.700,7525502976.000,7527422464.000,88.880,88.900,nan,nan,30,0
figlet,20,1.000,3.359,2955502.933,nan,2,0,12895506,nmap,0,1.000,0.063,11976192.000,nan,1,0,0,env,120,1.000,13.443,2191360.000,nan,2,0,13493691,40.933,84.317,7517841408.000,7524008448.000,88.781,88.854,nan,nan,30,0
figlet,20,1.000,3.418,4639709.867,nan,1,0,11672372,nmap,0,1.000,0.058,11949397.333,nan,1,0,0,env,120,1.000,12.663,2686976.000,nan,2,0,11356583,42.067,84.567,7524409344.000,7527572992.000,88.853,88.890,nan,nan,30,0
figlet,20,1.000,3.270,2934647.467,nan,1,0,12263566,nmap,0,1.000,0.069,11915264.000,nan,1,0,0,env,120,1.000,12.821,2740019.200,nan,1,0,10141687,41.758,83.229,7543584768.000,7539506176.000,89.093,89.039,nan,nan,30,0
figlet,20,1.000,3.064,2910227.505,nan,1,0,11783602,nmap,0,1.000,0.061,11866453.333,nan,1,0,0,env,140,1.000,13.541,2739541.333,nan,1,0,10702801,42.800,92.235,7534958592.000,7523461632.000,88.970,88.827,nan,nan,40,0
figlet,20,1.000,2.962,14764168.533,nan,2,0,12739154,nmap,0,1.000,0.062,11790784.610,nan,1,0,0,env,140,1.000,13.803,2913901.714,nan,2,0,13280611,40.333,90.217,7535683584.000,7530099712.000,88.978,88.904,nan,nan,45,0
figlet,20,1.000,3.529,4028157.562,nan,2,0,13385783,nmap,0,1.000,0.076,11950250.667,nan,1,0,0,env,140,1.000,15.112,3129344.000,nan,2,0,12879167,40.067,88.983,7529007104.000,7525165056.000,88.885,88.832,nan,nan,45,0
figlet,20,1.000,3.479,14837077.333,nan,1,0,13865471,nmap,0,1.000,0.059,11916288.000,nan,1,0,0,env,160,1.000,16.352,3445623.467,nan,2,0,27012746,41.133,90.584,7530911744.000,7531648000.000,88.905,88.913,nan,nan,30,0
